
2022/06/30 (12:53:42) | ===> btop++ v.1.2.3
2022/06/30 (12:53:42) | ERROR: Failed to get size of terminal!

2024/06/27 (14:22:27) | ===> btop++ v.1.3.2
2024/06/27 (14:22:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (15:19:37) | ===> btop++ v.1.3.2
2024/06/27 (15:19:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (15:29:36) | ===> btop++ v.1.3.2
2024/06/27 (15:29:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (16:58:19) | ===> btop++ v.1.3.2
2024/06/27 (16:58:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (16:58:28) | ===> btop++ v.1.3.2
2024/06/27 (16:58:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (17:14:13) | ===> btop++ v.1.3.2
2024/06/27 (17:14:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (17:14:34) | ===> btop++ v.1.3.2
2024/06/27 (17:14:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (17:16:30) | ===> btop++ v.1.3.2
2024/06/27 (17:16:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (10:31:12) | ===> btop++ v.1.3.2
2024/06/28 (10:31:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (15:05:33) | ===> btop++ v.1.3.2
2024/06/28 (15:05:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (15:28:06) | ===> btop++ v.1.3.2
2024/06/28 (15:28:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (16:45:33) | ===> btop++ v.1.3.2
2024/06/28 (16:45:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (00:06:53) | ===> btop++ v.1.3.2
2024/06/29 (00:06:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (00:06:59) | ===> btop++ v.1.3.2
2024/06/29 (00:06:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (00:07:01) | ===> btop++ v.1.3.2
2024/06/29 (00:07:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (20:44:36) | ===> btop++ v.1.3.2
2024/06/30 (20:44:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (17:51:39) | ===> btop++ v.1.3.2
2024/07/01 (17:51:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (13:09:52) | ===> btop++ v.1.3.2
2024/07/02 (13:09:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (23:00:14) | ===> btop++ v.1.3.2
2024/07/02 (23:00:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (22:06:56) | ===> btop++ v.1.3.2
2024/07/03 (22:06:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (22:54:38) | ===> btop++ v.1.3.2
2024/07/03 (22:54:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (23:24:26) | ===> btop++ v.1.3.2
2024/07/03 (23:24:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (23:25:53) | ===> btop++ v.1.3.2
2024/07/03 (23:25:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (23:27:17) | ===> btop++ v.1.3.2
2024/07/03 (23:27:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (12:18:17) | ===> btop++ v.1.3.2
2024/07/08 (12:18:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/09 (11:39:07) | ===> btop++ v.1.3.2
2024/07/09 (11:39:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/09 (18:21:24) | ===> btop++ v.1.3.2
2024/07/09 (18:21:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (15:48:53) | ===> btop++ v.1.3.2
2024/07/12 (15:48:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (18:23:10) | ===> btop++ v.1.3.2
2024/07/12 (18:23:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/16 (16:41:59) | ===> btop++ v.1.3.2
2024/07/16 (16:41:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/16 (16:56:37) | ===> btop++ v.1.3.2
2024/07/16 (16:56:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
